fuente,ruta_completa,ruta_relativa,nombre_archivo,extension,tamano_kb,folio_principal,folios_multiples,n_folios_detectados,categoria
archivos,/home/bgcorrea/personal/workspace/caigg/Archivos/01. ARICA - FFOIP/59908 - COLECTIVO SOCIAL CULTURAL DEPORTIVO CARNAVALON/Res. Adjudicación REX 95-2022.pdf,01. ARICA - FFOIP/59908 - COLECTIVO SOCIAL CULTURAL DEPORTIVO CARNAVALON/Res. Adjudicación REX 95-2022.pdf,Res. Adjudicación REX 95-2022.pdf,.pdf,1246.1,59908,,1,acto_administrativo
archivos,/home/bgcorrea/personal/workspace/caigg/Archivos/01. ARICA - FFOIP/58980 - CLUB ADULTO MAYOR SANTA ROSA HIJOS DE CAQUENA/Garantía - 58980.pdf,01. ARICA - FFOIP/58980 - CLUB ADULTO MAYOR SANTA ROSA HIJOS DE CAQUENA/Garantía - 58980.pdf,Garantía - 58980.pdf,.pdf,681.9,58980,,1,garantia
archivos,/home/bgcorrea/personal/workspace/caigg/Archivos/01. ARICA - FFOIP/58980 - CLUB ADULTO MAYOR SANTA ROSA HIJOS DE CAQUENA/Resolución Exenta N° 106-2022.pdf,01. ARICA - FFOIP/58980 - CLUB ADULTO MAYOR SANTA ROSA HIJOS DE CAQUENA/Resolución Exenta N° 106-2022.pdf,Resolución Exenta N° 106-2022.pdf,.pdf,1192.4,58980,,1,acto_administrativo
archivos,/home/bgcorrea/personal/workspace/caigg/Archivos/01. ARICA - FFOIP/58980 - CLUB ADULTO MAYOR SANTA ROSA HIJOS DE CAQUENA/Res. Adjudicación REX 95-2022.pdf,01. ARICA - FFOIP/58980 - CLUB ADULTO MAYOR SANTA ROSA HIJOS DE CAQUENA/Res. Adjudicación REX 95-2022.pdf,Res. Adjudicación REX 95-2022.pdf,.pdf,1246.1,58980,,1,acto_administrativo
archivos,/home/bgcorrea/personal/workspace/caigg/Archivos/01. ARICA - FFOIP/58980 - CLUB ADULTO MAYOR SANTA ROSA HIJOS DE CAQUENA/Convenio - 58980.pdf,01. ARICA - FFOIP/58980 - CLUB ADULTO MAYOR SANTA ROSA HIJOS DE CAQUENA/Convenio - 58980.pdf,Convenio - 58980.pdf,.pdf,3759.9,58980,,1,convenio
archivos,/home/bgcorrea/personal/workspace/caigg/Archivos/01. ARICA - FFOIP/59357 - FUNDACION ARTE AMARU/Resolución Exenta N° 106-2022.pdf,01. ARICA - FFOIP/59357 - FUNDACION ARTE AMARU/Resolución Exenta N° 106-2022.pdf,Resolución Exenta N° 106-2022.pdf,.pdf,1192.4,59357,,1,acto_administrativo
archivos,/home/bgcorrea/personal/workspace/caigg/Archivos/01. ARICA - FFOIP/59357 - FUNDACION ARTE AMARU/Convenio - 59357.pdf,01. ARICA - FFOIP/59357 - FUNDACION ARTE AMARU/Convenio - 59357.pdf,Convenio - 59357.pdf,.pdf,4141.0,59357,,1,convenio
archivos,/home/bgcorrea/personal/workspace/caigg/Archivos/01. ARICA - FFOIP/59357 - FUNDACION ARTE AMARU/Garantía - 59357.pdf,01. ARICA - FFOIP/59357 - FUNDACION ARTE AMARU/Garantía - 59357.pdf,Garantía - 59357.pdf,.pdf,679.7,59357,,1,garantia
archivos,/home/bgcorrea/personal/workspace/caigg/Archivos/01. ARICA - FFOIP/59357 - FUNDACION ARTE AMARU/Res. Adjudicación REX 95-2022.pdf,01. ARICA - FFOIP/59357 - FUNDACION ARTE AMARU/Res. Adjudicación REX 95-2022.pdf,Res. Adjudicación REX 95-2022.pdf,.pdf,1246.1,59357,,1,acto_administrativo
archivos,/home/bgcorrea/personal/workspace/caigg/Archivos/01. ARICA - FFOIP/59357 - FUNDACION ARTE AMARU/Egreso - 59357.pdf,01. ARICA - FFOIP/59357 - FUNDACION ARTE AMARU/Egreso - 59357.pdf,Egreso - 59357.pdf,.pdf,12.6,59357,,1,otro
